route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1,RO-RATBV,1,"Triaj - Livada Poștei","Trolleybus 1",11,https://osm.org/relation/5369867,fcf81d,000000,
10,RO-RATBV,10,"Valea Cetății - Triaj","Trolleybus 10",11,https://osm.org/relation/5417976,b31f37,FFFFFF,
110,RO-RATBV,110,"Barșov - Cristian","Bus 110",701,https://osm.org/relation/13342505,4ea74b,FFFFFF,
120,RO-RATBV,120,"Brașov - Cristian - Vulcan","Bus 120",701,https://osm.org/relation/16033484,4ea74b,FFFFFF,
130,RO-RATBV,130,"Brașov - Cristian - Râșnov","Bus 130",701,https://osm.org/relation/13343060,4ea74b,FFFFFF,
131,RO-RATBV,131,"Brașov - Romacril Râșnov","Bus 131",701,https://osm.org/relation/13343063,4ea74b,ffffff,
14,RO-RATBV,14,"Fabrica de Var - Livada Poștei","Bus 14",3,https://osm.org/relation/5399075,4bba3a,000000,
140,RO-RATBV,140,"Brașov - Zărnești","Bus 140",701,https://osm.org/relation/16062796,4ea74b,ffffff,
15,RO-RATBV,15,"Triaj - Avantgarden","Bus 15",3,https://osm.org/relation/5409349,030d91,FFFFFF,
16,RO-RATBV,16,"Stadionul Municipal - Livada Poștei","Bus 16",3,https://osm.org/relation/5388442,f66e32,000000,
17,RO-RATBV,17,"Noua - Livada Poștei","Bus 17",3,https://osm.org/relation/5386138,65eded,000000,
17B,RO-RATBV,17B,"Gara Brașov - Timișul de Jos","Bus 17B",3,https://osm.org/relation/5409921,fdf681,000000,
18,RO-RATBV,18,"Bariera Bartolomeu - Fundăturii / I.A.R.","Bus 18",3,https://osm.org/relation/5386186,ed839a,000000,
2,RO-RATBV,2,"Rulmentul - Livada Poștei","Trolleybus 2",11,https://osm.org/relation/5369953,00bd47,000000,
20,RO-RATBV,20,"Livada Poștei - Poiana Brașov","Bus 20",3,https://osm.org/relation/5387308,b1f000,000000,
20B,RO-RATBV,20B,"Open top Bus","Bus 20B",3,https://osm.org/relation/14428426,b1f000,000000,
21,RO-RATBV,21,"Triaj - Noua","Bus 21",3,https://osm.org/relation/5386248,f66e32,000000,
210,RO-RATBV,210,"Brașov - Ghimbav","Bus 210",701,https://osm.org/relation/13354417,4ea74b,FFFFFF,
